City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,saguenay,48.4168,-71.0657,-12.54,67,20,2.06,CA,1737842587
182,kyaikkami,16.08,97.5675,22.27,72,52,2.78,MM,1737842589
183,portland,45.5234,-122.6762,10.31,37,0,8.05,US,1737842462
184,choibalsan,48.0667,114.5,-16.12,88,100,7.57,MN,1737842591
185,maua,-23.6678,-46.4614,29.7,80,88,1.47,BR,1737842592
186,nova vicosa,-17.8919,-39.3719,26.09,81,7,4.2,BR,1737842593
187,saint-francois,46.4154,3.9054,8.69,68,0,2.57,FR,1737842594
188,nuuk,64.1835,-51.7216,-6.66,68,75,1.03,GL,1737842596
189,barabai,-2.5833,115.3833,23.26,98,100,0.27,ID,1737842597
190,cabedelo,-6.9811,-34.8339,28.37,76,18,5.09,BR,1737842598
191,kodiak,57.79,-152.4072,5.31,95,100,7.75,US,1737842599
192,hoshcha,50.6003,26.6744,3.94,86,97,4.13,UA,1737842600
193,derzhavinsk,51.1,66.3167,-15.05,79,99,2.29,KZ,1737842602
194,prado,-17.3411,-39.2208,25.9,83,0,3.88,BR,1737842603
195,bloemhof,-27.6469,25.607,24.32,34,0,0.97,ZA,1737842604
196,callao,-12.0667,-77.15,25.16,65,0,6.17,PE,1737842605
197,iskateley,67.6803,53.1512,-11.46,93,98,5.47,RU,1737842606
198,kolonia,50.9333,6.95,7.76,91,75,2.57,DE,1737842410
199,pangkalanbuun,-2.6833,111.6167,22.77,99,100,0.93,ID,1737842609
200,acapulco de juarez,16.8634,-99.8901,25.86,67,2,3.9,MX,1737842502
201,bacalar,18.6667,-88.3833,24.06,69,75,2.57,MX,1737842611
202,sinabang,2.4803,96.3801,25.37,86,100,2.43,ID,1737842612
203,lengshuitan,26.4111,111.5956,6.14,81,100,3.34,CN,1737842613
204,harstad,68.799,16.5293,-4.87,73,94,4.61,NO,1737842615
205,palmer,42.1584,-72.3287,-2.14,47,75,6.17,US,1737842616
206,moyynkum,44.2914,72.9469,-9.1,66,100,9.11,KZ,1737842617
207,san luis de la loma,17.2706,-100.8939,28.78,62,10,3.23,MX,1737842618
208,hermanus,-34.4187,19.2345,22.67,93,13,1.24,ZA,1737842619
209,college,64.8569,-147.8028,3.37,94,100,0.0,US,1737842407
210,primero de mayo,-32.2552,-58.4228,32.68,28,22,7.66,AR,1737842622
211,chefchaouene,35.1688,-5.2636,10.67,86,20,2.4,MA,1737842623
212,dobryanka,58.4619,56.4165,-24.3,100,100,1.58,RU,1737842624
213,port shepstone,-30.7414,30.455,23.13,90,8,4.06,ZA,1737842625
214,ploneour-lanvern,47.9,-4.2833,3.18,100,100,1.03,FR,1737842627
215,glace bay,46.1969,-59.957,-7.14,77,95,1.34,CA,1737842628
216,kasane,-17.8167,25.15,20.72,68,87,3.03,BW,1737842629
217,cessnock,-32.8333,151.35,21.62,64,76,1.63,AU,1737842630
218,ulsteinvik,62.3432,5.8487,6.84,83,100,3.58,NO,1737842631
219,san patricio,28.017,-97.5169,19.97,81,100,6.19,US,1737842633
220,melfort,52.8667,-104.6177,-5.93,79,96,5.14,CA,1737842634
221,san antonio,29.4241,-98.4936,18.52,63,100,4.63,US,1737842410
222,geraldton,-28.7667,114.6,24.23,83,100,6.17,AU,1737842636
223,illizi,26.4833,8.4667,17.7,17,19,4.66,DZ,1737842637
224,gamba,-2.65,10.0,25.09,84,19,1.46,GA,1737842639
225,jefferson city,38.5767,-92.1735,7.95,42,0,3.09,US,1737842640
226,howrah,22.5892,88.3103,16.0,82,0,3.09,IN,1737842641
227,severnoye,56.3491,78.3619,-17.56,95,100,2.88,RU,1737842642
228,klyuchi,52.2667,79.1667,-21.79,88,80,3.19,RU,1737842643
229,cheremukhovo,60.3484,59.9851,-14.82,97,100,1.29,RU,1737842644
230,silver city,32.7701,-108.2803,15.21,13,0,6.69,US,1737842646
231,bethanie,-26.4833,17.15,29.14,28,31,3.93,NA,1737842647
232,hirara,24.8,125.2833,19.92,77,75,5.66,JP,1737842648
233,raduzhny,62.0961,77.475,-27.81,99,35,2.02,RU,1737842649
234,mount isa,-20.7333,139.5,28.87,74,0,4.63,AU,1737842650
235,bad berka,50.9,11.2833,10.24,88,100,3.02,DE,1737842652
236,port elizabeth,-33.918,25.5701,22.4,96,0,4.12,ZA,1737842416
237,argo,37.6333,22.7333,11.98,76,5,1.75,GR,1737842654
238,bikenibeu village,1.3673,173.1241,28.98,70,20,6.69,KI,1737842655
239,santa sylvina,-27.8326,-61.1375,29.7,64,83,3.96,AR,1737842656
240,kalmunai,7.4167,81.8167,24.07,90,100,2.53,LK,1737842658
241,trinidad,-14.8333,-64.9,28.99,74,75,4.12,BO,1737842659
242,saint-denis,48.9167,2.3333,8.56,96,100,7.2,FR,1737842660
243,muisne,0.6,-80.0333,25.98,81,72,3.61,EC,1737842661
244,tynda,55.1667,124.7167,-21.24,88,100,1.95,RU,1737842662
245,neelankarai,12.9455,80.2575,23.38,88,40,1.03,IN,1737842664
246,san sebastian de la gomera,28.0916,-17.1133,18.2,72,0,2.06,ES,1737842665
247,guarapari,-20.6667,-40.4975,25.64,84,100,5.06,BR,1737842666
248,marka,1.7159,44.7717,23.89,83,96,9.12,SO,1737842667
249,qarqaraly,49.4058,75.4742,-18.22,53,19,1.84,KZ,1737842668
250,laojunmiao,39.8333,97.7333,-12.24,40,94,2.8,CN,1737842475
251,warrington,53.3925,-2.5802,3.48,87,0,4.12,GB,1737842672
252,macapa,0.0389,-51.0664,25.99,89,75,1.54,BR,1737842673
253,bicaz,46.9167,26.0667,1.79,92,17,2.43,RO,1737842674
254,hami,42.8,93.45,-10.19,46,9,1.18,CN,1737842676
255,qaisumah,28.3112,46.1273,10.98,62,0,3.09,SA,1737842677
256,hengchun,22.0042,120.7439,19.29,76,31,7.36,TW,1737842678
257,inhambane,-23.865,35.3833,25.97,86,49,6.23,MZ,1737842679
258,alice springs,-23.7,133.8833,23.75,19,2,0.0,AU,1737842407
259,porto novo,6.4965,2.6036,27.9,84,95,2.96,BJ,1737842682
260,west island,-12.1568,96.8225,25.99,94,95,2.57,CC,1737842683
261,mzimba,-11.9,33.6,16.53,98,100,2.45,MW,1737842684
262,taksimo,56.3444,114.8794,-29.55,87,7,1.4,RU,1737842685
263,eqbaliyeh,35.3022,51.5358,6.61,59,12,3.68,IR,1737842686
264,port alberni,49.2413,-124.8028,8.12,41,1,1.16,CA,1737842629
265,sitka,57.0531,-135.33,3.94,87,75,0.0,US,1737842689
266,la cruz,23.9167,-106.9,24.97,34,22,2.75,MX,1737842690
267,krasnaya gorbatka,55.8703,41.7641,-3.83,94,100,3.34,RU,1737842691
268,rongelap,11.1635,166.8941,26.37,69,66,8.87,MH,1737842692
269,atafu village,-8.5421,-172.5159,28.22,71,5,6.8,TK,1737842694
270,manokwari,-0.8667,134.0833,25.96,78,100,1.7,ID,1737842695
271,turabah,21.2141,41.6331,17.17,67,25,3.03,SA,1737842696
272,la passe,45.5549,-0.8967,8.95,67,61,6.32,FR,1737842697
273,goure,13.9835,10.2704,19.61,16,0,4.11,NE,1737842698
274,beau vallon,-20.4189,57.6953,27.13,74,40,3.09,MU,1737842700
275,alupka,44.4167,34.05,8.24,90,25,3.52,UA,1737842665
276,keflavik,64.0049,-22.5624,0.24,86,100,2.57,IS,1737842702
277,hasaki,35.7333,140.8333,7.36,54,3,9.72,JP,1737842703
278,javea,38.7833,0.1667,16.08,65,100,2.24,ES,1737842704
279,talnakh,69.4865,88.3972,-32.13,93,20,2.26,RU,1737842705
280,fada,7.25,4.0667,24.91,82,79,1.17,NG,1737842707
281,belgrade,44.804,20.4651,0.81,100,100,2.57,RS,1737842618
282,jining,35.405,116.5814,0.78,92,100,4.64,CN,1737842416
283,filey,54.21,-0.2892,2.81,40,7,3.58,GB,1737842710
284,tvoroyri,61.5556,-6.8111,5.73,62,100,16.2,FO,1737842711
285,sambava,-14.2667,50.1667,24.78,88,100,1.29,MG,1737842713
286,lompoc,34.6391,-120.4579,11.74,80,100,4.63,US,1737842714
287,hasilpur,29.7122,72.5553,11.43,10,0,2.36,PK,1737842715
288,guazacapan,14.0742,-90.4167,31.64,35,0,3.74,GT,1737842716
289,suva,-18.1416,178.4415,30.71,74,75,4.63,FJ,1737842717
290,yeed,4.55,43.0333,26.25,32,71,3.98,SO,1737842720
291,uturoa,-16.7333,-151.4333,27.81,76,5,6.97,PF,1737842721
292,kapiri mposhi,-13.9652,28.6809,16.89,95,100,1.34,ZM,1737842722
293,khadan khak,30.7477,67.7085,5.81,12,0,3.07,PK,1737842725
294,utrik,11.2278,169.8474,26.22,76,40,7.97,MH,1737842726
295,kapuskasing,49.4169,-82.4331,-4.95,79,75,5.66,CA,1737842727
296,birjand,32.8663,59.2211,0.26,43,0,3.09,IR,1737842728
297,praia da vitoria,38.7333,-27.0667,18.14,72,20,9.79,PT,1737842730
298,smolyan,41.5853,24.6919,-1.13,81,0,0.8,BG,1737842731
299,farafangana,-22.8167,47.8333,24.54,94,100,3.31,MG,1737842732
300,guasdualito,7.2424,-70.7324,30.98,62,75,2.06,VE,1737842733
301,rio grande,-32.035,-52.0986,24.01,84,4,7.53,BR,1737842735
302,santiago de cao,-7.9589,-79.2392,20.07,83,75,5.14,PE,1737842736
303,karratha,-20.7377,116.8463,30.16,70,63,2.94,AU,1737842737
304,north bend,43.4065,-124.2243,11.76,28,0,5.14,US,1737842738
305,puerto deseado,-47.7503,-65.8938,14.96,57,91,7.24,AR,1737842741
306,maracai,-22.6106,-50.6672,27.15,69,45,4.03,BR,1737842742
307,usogorsk,63.4106,48.6872,-3.46,96,100,4.14,RU,1737842743
308,saint-philippe,-21.3585,55.7679,26.34,78,73,4.7,RE,1737842744
309,saldanha,-33.0117,17.9442,20.03,92,0,6.5,ZA,1737842746
310,persembe,41.0656,37.7714,8.68,68,100,1.35,TR,1737842747
311,khandyga,62.6667,135.6,-35.92,100,89,0.58,RU,1737842748
312,soroti,1.7146,33.6111,22.46,59,66,2.09,UG,1737842749
313,araguaina,-7.1911,-48.2072,24.61,86,90,1.84,BR,1737842750
314,ajdabiya,30.7554,20.2263,15.25,81,74,3.33,LY,1737842752
315,port blair,11.6667,92.75,24.02,83,94,1.03,IN,1737842753
316,wailua homesteads,22.0669,-159.378,25.44,74,40,5.14,US,1737842754
317,el jadid,33.2549,-8.506,13.81,84,33,2.02,MA,1737842755
318,chui,-33.6971,-53.4616,21.06,67,0,4.92,UY,1737842756
319,smara,26.7384,-11.6719,15.17,81,0,4.61,EH,1737842758
320,fort mcmurray,56.7268,-111.381,-1.23,59,100,6.17,CA,1737842759
321,nova xavantina,-14.6667,-52.35,25.83,82,100,1.4,BR,1737842760
322,howard springs,-12.497,131.047,26.95,100,100,1.64,AU,1737842761
323,santo antonio,-6.3106,-35.4789,25.75,74,66,5.07,BR,1737842763
324,inverloch,-38.6333,145.7167,17.33,71,92,2.82,AU,1737842764
325,ta`u,-14.2336,-169.5144,28.08,77,47,6.17,AS,1737842765
326,roslyakovo,69.043,33.1991,-7.32,96,100,1.49,RU,1737842766
327,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,67,20,5.0,RU,1737842767
328,kapa'a,22.0752,-159.319,26.18,74,40,5.14,US,1737842769
329,khorixas,-20.3667,14.9667,23.76,46,81,3.04,NA,1737842770
330,akureyri,65.6835,-18.0878,-1.04,93,100,1.54,IS,1737842771
331,usinsk,65.9939,57.5281,-6.8,95,100,5.76,RU,1737842772
332,challapata,-18.9,-66.7667,14.17,53,100,1.2,BO,1737842774
333,hede,33.7681,120.2517,3.55,80,100,2.64,CN,1737842775
334,lushun,38.8,121.2667,-1.88,49,100,0.63,CN,1737842777
335,aykhal,66.0,111.5,-37.37,100,42,1.95,RU,1737842779
336,yarmouth,41.7057,-70.2286,-0.97,64,20,6.17,US,1737842780
337,platteville,42.7342,-90.4785,1.2,51,100,7.72,US,1737842781
338,timimoun,29.2639,0.231,18.2,18,44,6.0,DZ,1737842782
339,huangmei,30.1924,116.025,5.57,92,100,2.42,CN,1737842783
340,paso de los toros,-32.8167,-56.5167,29.94,38,78,5.48,UY,1737842785
341,miles city,46.4083,-105.8406,-6.46,58,0,4.12,US,1737842786
342,flying fish cove,-10.4217,105.6791,22.82,94,96,2.06,CX,1737842787
343,manado,1.487,124.8455,24.43,100,40,1.03,ID,1737842788
344,iglino,54.8324,56.4126,-20.32,96,71,1.36,RU,1737842789
345,i-n-salah,27.1935,2.4607,18.35,16,100,4.99,DZ,1737842791
346,murghob,38.1702,73.9667,-34.02,55,34,1.36,TJ,1737842792
347,luanda,-8.8368,13.2343,26.0,21,40,3.09,AO,1737842793
348,kargasok,59.0556,80.8572,-13.39,94,100,3.85,RU,1737842794
349,pemba,-12.974,40.5178,26.39,88,75,5.61,MZ,1737842796
350,igurubi,-4.0,33.7,18.84,90,100,2.33,TZ,1737842797
351,mhamid,29.82,-5.72,16.71,33,52,2.53,MA,1737842798
352,gubakha,58.8386,57.5532,-22.03,100,88,1.72,RU,1737842799
